Ticket,Fare
392091,9
28134,11
17466,25
233866,13
236852,13
SC/PARIS 2149,13
PC 17590,50
349248,7
345765,9
2667,7
349212,7
11767,83
230433,26
349257,7
7552,10
C.A./SOTON 34068,10
SOTON/OQ 392076,7
211536,13
111369,30
370376,7
